id_queue;method;uid;code;object;path;storeCode;company;createDate;status;attemps
67;POST;57d14741-819d-4712-b8f7-c1cf2377fcfd;;StockTransferDTO;core-engine/stock-transfer/sync?code=57d14741-819d-4712-b8f7-c1cf2377fcfd;ST008;AZALEIA;2024-10-07 09:37:05;PENDING;1
68;PATCH;57d14741-819d-4712-b8f7-c1cf2377fcfd;;StockTransferDTO;core-engine/stock-transfer/sync?code=57d14741-819d-4712-b8f7-c1cf2377fcfd;ST008;AZALEIA;2024-10-07 09:37:06;PENDING;2
69;POST;7fe1ce68-6243-4299-ba2a-00275fef272e;;StockTransferDTO;core-engine/stock-transfer/sync?code=7fe1ce68-6243-4299-ba2a-00275fef272e;ST016;AZALEIA;2024-10-07 09:37:06;PENDING;
70;POST;e8febdcf-7c06-4d92-b09a-10d6b25d4b5c;;StockTransferDTO;core-engine/stock-transfer/sync?code=e8febdcf-7c06-4d92-b09a-10d6b25d4b5c;ST016;AZALEIA;2024-10-07 09:37:07;PENDING;
71;PATCH;e8febdcf-7c06-4d92-b09a-10d6b25d4b5c;;StockTransferDTO;core-engine/stock-transfer/sync?code=e8febdcf-7c06-4d92-b09a-10d6b25d4b5c;ST016;AZALEIA;2024-10-07 09:37:07;PENDING;1
72;POST;da8b716d-4919-4827-a4bb-2d42d265cc16;;StockTransferDTO;core-engine/stock-transfer/sync?code=da8b716d-4919-4827-a4bb-2d42d265cc16;ST008;AZALEIA;2024-10-07 09:37:07;PENDING;
73;POST;2914759d-1472-4e20-8877-07d8029671a1;;StockTransferDTO;core-engine/stock-transfer/sync?code=2914759d-1472-4e20-8877-07d8029671a1;ST008;AZALEIA;2024-10-07 09:37:09;PENDING;1
74;POST;1d14d13b-3ec6-4d0a-9e65-c618b09de99d;;StockTransferCancellationDTO;core-engine/cancellation-document/sync?code=1d14d13b-3ec6-4d0a-9e65-c618b09de99d;ST008;AZALEIA;2024-10-07 09:37:10;PENDING;
75;POST;1d14d13b-3ec6-4d0a-9e65-c618b09de99d;;CorrelativeCancelDTO;core-engine/cancellation-document/sync?code=1d14d13b-3ec6-4d0a-9e65-c618b09de99d;ST008;AZALEIA;2024-10-07 09:37:10;PENDING;
76;POST;0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;;TransferRequestDTO;core-engine/transfer-request/sync?code=0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;ST016;AZALEIA;2024-10-07 09:37:12;PENDING;
